Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;NEC_2016_calc;NEC_2020_calc;delta_competicao_diff;delta_competicao_log;Gestao_Index;Gestao_Index_c;delta_abstencao_pp_c;delta_competicao_diff_c;delta_competicao_log_c;vantagem2016_c;UF;Populacao;VD1_Reeleito;VD2_DeltaVantagem;mask_27A
Breves;PA;TONINHO BARBOSA;LUTH REBELO;XARÃO LEÃO;104.280;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;REPUBLICANOS;3,096992495;2,973170401;0,123822094;47918;13310;61228;17268;17116;28;28;0;54.468;14884;69352;12473;19220;18;28;-10;-10;Administração, defesa, educação e saúde públicas e seguridade social;8.185,99;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;14/05/2020;185;0,68;16/03/2020;244;1;0,2723;0,2526;0,3946;0,3287;0,3155;0,3714;0,0564;0;0,0629;0;-0,0232;1;0.21738420330567715;0.21461529588187794;-0.2768907423799205;2.973170401;3.096992495;0.12382209399999988;0.04080261912285096;0.6685714285714285;-0.08815398886639281;-5.712086520393118;0.22936572604316532;0.08767792377432676;-11.151079136690647;PA;104280;0;-10;True
Castanhal;PA;PEDRO COELHO;PAULO TITAN;TITAN;205.667;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;CIDADANIA;4,956156494;2,578973911;2,377182582;107408;13873;121281;52285;29602;43;24;19;105.384;24574;129958;24457;26857;19;21;-2;-21;Demais serviços;21.122,55;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;14/05/2020;185;0,68;01/05/2020;198;0,477272727;0,4208;0,4409;0,5685;0,4876;0,4824;0,5933;0,0668;0;0,0415;0;0,0248;0;0.11438724944550259;0.1890918604472214;7.470461100171881;2.578973911;4.956156494;2.377182583;0.6532389290314692;0.7367532467142857;-0.01997217072353563;2.0352653221586836;2.4827262150431655;0.700114233682945;7.848920863309353;PA;205667;0;-21;True
Itaituba;PA;VALMIR CLIMACO;IVAN DALMEIDA;IVAN DALMEIDA;101.541;12;6 - 100001 até 500000;1 - Norte;MASCULINO;1;MDB;1,537509193;2,641179023;-1,10366983;55199;20239;75438;26293;15244;35;20;15;57.574;26401;83975;42077;12270;50;15;35;21;Demais serviços;25.900,08;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;14/05/2020;185;0,68;12/06/2020;156;0;0,3118;0,1698;0,516;0,3884;0,2891;0,556;0,0766;0;0,1193;0;0,04;0;0.2682865399400832;0.3143911878535278;4.61046479134446;2.641179023;1.537509193;-1.1036698299999999;-0.5410617172158552;0.8114285714285714;0.0547031539907501;-0.8247309866687376;-0.9981261979568344;-0.49418641256437934;3.8489208633093526;PA;101541;1;21;True
Alagoa grande;PB;SOBRINHO;JOSILDO OLIVEIRA;BÔDA;28.384;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PP;2,893935994;2,461921954;0,43201404;17689;6331;24020;7474;6704;31;28;3;17.556;3924;21480;7000;4969;33;23;9;6;Administração, defesa, educação e saúde públicas e seguridade social;9.884,10;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;28/05/2020;171;0,6;19/03/2020;241;0,965909091;0,3776;0,5484;0,3099;0,3906;0,5135;0,3285;0,013;0;-0,0349;1;0,0186;0;0.26357202331390506;0.18268156424581006;-8.089045906809499;2.461921954;2.893935994;0.4320140399999999;0.16167518415525245;0.7951298701428572;0.038404452705035896;-13.524241684822696;0.5375576720431653;0.20855048880672825;-8.151079136690647;PB;28384;1;6;True
Areia;PB;JOÃO FRANCISCO;PAULO MOVEIS;DRA SILVIA;22.493;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PSDB;2,079695152;1,944270085;0,135425067;15701;3884;19585;8873;5254;45;27;18;14.727;3220;17947;6040;7248;34;40;-7;-25;Administração, defesa, educação e saúde públicas e seguridade social;10.754,72;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;11/05/2020;188;0,697142857;21/03/2020;239;0,943181818;0,3504;0,3893;0,3387;0,5009;0,6483;0,3683;0,1505;0;0,259;0;0,0296;0;0.1983150370181261;0.17941717278653815;-1.8897864231587957;1.944270085;2.079695152;0.13542506700000012;0.067334692432399;0.5200463821428573;-0.23667903529496404;-7.324982201171993;0.24096869904316556;0.11420999708387479;6.848920863309353;PB;22493;0;-25;True
Cajazeiras;PB;ZÉ ALDEMIR;DRA DENISE;DRA DENISE;62.576;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2,556951634;2,151547057;0,405404577;36762;8653;45415;16926;15839;37;35;2;36.462;7959;44421;16416;12688;37;29;8;6;Demais serviços;18.213,02;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;18/05/2020;181;0,657142857;18/05/2020;181;0,284090909;0,4905;0,6037;0,4851;0,5743;0,6495;0,4923;0,0838;0;0,0458;0;0,0072;0;0.19053176263349114;0.1791720132369825;-1.1359749396508634;2.151547057;2.556951634;0.40540457699999966;0.17262863622049102;0.705890538;-0.05083487943782128;-6.57117071766406;0.5109482090431651;0.2195039408719668;-9.151079136690647;PB;62576;1;6;True
Mamanguape;PB;EUNICE;FABIO FERNANDES;FABRÍCIO SALES;45.385;11;4 - 20001 até 50000;2 - Nordeste;FEMININO;1;CIDADANIA;1,87512932;2,074275078;-0,199145758;26516;3483;29999;12859;11020;43;37;6;25.634;5289;30923;14991;8841;48;29;20;14;Administração, defesa, educação e saúde públicas e seguridade social;15.320,26;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;29/05/2020;170;0,594285714;18/03/2020;242;0,977272727;0,3953;0,4005;0,5358;0,4412;0,4107;0,5517;0,0459;0;0,0102;0;0,0159;0;0.1161038701290043;0.171037738899848;5.493386877084369;2.074275078;1.87512932;-0.19914575799999978;-0.10093410493156589;0.7959369201428571;0.03921150270503582;0.05819109907117159;-0.09360212595683434;-0.054058800280090094;-5.151079136690647;PB;45385;1;14;True
Mari;PB;ANTONIO GOMES;MARCOS MARTINS;MARCOS MARTINS;21.895;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PL;2,560317252;2,166443468;0,393873784;13724;3537;17261;6298;5913;36;34;2;14.348;2027;16375;6263;5671;38;35;4;1;Administração, defesa, educação e saúde públicas e seguridade social;10.091,56;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;01/05/2020;198;0,754285714;20/03/2020;240;0,954545455;0,3783;0,5326;0,3121;0,4392;0,5298;0,3118;0,0609;0;-0,0028;1;-0,0003;1;0.20491280922310412;0.12378625954198473;-8.112654968111938;2.166443468;2.560317252;0.3938737839999997;0.16704430921784372;0.8155473098571429;0.058821892419321564;-13.547850746125135;0.49941741604316514;0.2139196138693195;-9.151079136690647;PB;21895;1;1;True
Cabo de santo agostinho;PE;LULA CABRAL;BETINHO;KEKO DO ARMAZEM;210.796;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSB;2,863997109;2,232404001;0,631593108;136514;25711;162225;66970;44028;41;27;14;130.451;22611;153062;33449;54305;22;35;-14;-28;Demais serviços;48.296,36;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;31/07/2020;107;0,234285714;20/03/2020;240;0,954545455;0,5446;0,5719;0,6425;0,5593;0,5429;0,6413;0,0147;0;-0,029;1;-0,0012;1;0.15848975188781014;0.14772445152944558;-1.0765300358364565;2.232404001;2.863997109;0.6315931080000001;0.24913920749844629;0.7412615955714286;-0.015463821866392724;-6.511725813849654;0.7371367400431655;0.2960145121499221;2.8489208633093526;PE;210796;0;-28;True
Jaboatao dos guararapes;PE;ANDERSON FERREIRA;NECO;DANIEL ALVES;711.330;13;7 - Maior que 500000;2 - Nordeste;MASCULINO;1;PL;2,526378891;3,734115037;-1,207736146;368313;75539;443852;99670;87490;22;20;3;348.251;106664;454915;144586;81827;32;18;14;11;Demais serviços;18.809,45;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;31/07/2020;107;0,234285714;20/03/2020;240;0,954545455;0,525;0,5049;0,6205;0,5196;0,5067;0,5752;-0,0054;1;0,0018;0;-0,0453;1;0.17018961275380082;0.2344701757471176;6.428056299331677;3.734115037;2.526378891;-1.2077361460000002;-0.39072384350867934;0.8841187384285715;0.12739332099075018;0.9928605213184802;-1.1021925139568347;-0.34384853885720357;-8.151079136690647;PE;711330;1;11;True
Olinda;PE;PROFESSOR LUPERCIO;ANTÔNIO CAMPOS;JOÃO PAULO;393.734;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;SOLIDARIEDADE;2,152488493;4,977854149;-2,825365656;242370;16958;259328;46476;55995;18;22;-4;231.439;51513;282952;123534;45289;44;16;28;31;Demais serviços;14.314,03;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;17/07/2020;121;0,314285714;20/03/2020;240;0,954545455;0,5214;0,4945;0,653;0,531;0,5187;0,6266;0,0096;0;0,0242;0;-0,0264;1;0.06539209032576505;0.18205561367299047;11.666352334722543;4.977854149;2.152488493;-2.825365656;-0.8383742929714897;0.6098330241428572;-0.14689239329496406;6.231156556709346;-2.7198220239568345;-0.7914989883200139;-15.151079136690647;PE;393734;1;31;True
Petrolina;PE;MIGUEL COELHO;ODACY AMORIM;JULIO LOSSIO FILHO;359.372;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;MDB;1,665062186;3,584928913;-1,919866727;168514;15364;183878;60509;39618;33;22;11;170.622;39737;210359;121300;15567;58;7;50;39;Demais serviços;19.416,68;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Sim;31/05/2020;168;0,582857143;23/03/2020;237;0,920454545;0,5681;0,5331;0,6479;0,6583;0,6625;0,654;0,0902;0;0,1294;0;0,0061;0;0.0835554008636161;0.18890087897356425;10.534547810994816;3.584928913;1.665062186;-1.919866727;-0.7668761731613218;0.6433302411428572;-0.1133951762949641;5.099352032981619;-1.8143230949568345;-0.720000868509846;-0.15107913669064743;PE;359372;1;39;True
Vitoria de santo antao;PE;AGLAILSON;PAULO ROBERTO;PAULO ROBERTO;140.389;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSB;2,270911295;2,964597944;-0,693686649;83748;4631;88379;30935;30019;35;34;1;80.788;14156;94944;26532;40665;28;43;-15;-16;Demais serviços;30.132,25;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;31/05/2020;168;0,582857143;20/03/2020;240;0,954545455;0,4296;0,3722;0,5413;0,494;0,4957;0,5704;0,0644;0;0,1235;0;0,0291;0;0.05239932563165458;0.1490984159083249;9.669909027667032;2.964597944;2.270911295;-0.693686649;-0.2665602201054986;0.6482003711428571;-0.10852504629496418;4.234713249653835;-0.5881430169568346;-0.21968491545402283;-10.151079136690647;PE;140389;0;-16;True
Barras;PI;CARLOS MONTE;EDILSON CAPOTE;CAPOTE;47.298;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PTB;2,45690348;1,996117282;0,460786198;29361;2927;32288;14299;13091;44;41;4;28.791;5953;34744;10257;13825;30;40;-10;-14;Administração, defesa, educação e saúde públicas e seguridade social;9.950,15;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;22/04/2020;207;0,805714286;21/03/2020;239;0,943181818;0,3497;0,4113;0,2956;0,413;0,4421;0,2969;0,0633;0;0,0308;0;0,0013;0;0.09065287413280476;0.17133893621920332;8.068606208639856;1.996117282;2.45690348;0.46078619799999987;0.20769787440804216;0.821270872;0.06454545456217875;2.6334104306266592;0.5663298300431653;0.25457317905951793;-7.151079136690647;PI;47298;0;-14;True
Campo maior;PI;PROFESSOR RIBINHA;JOÃOZINHO FÉLIX;JOÃOZINHO FÉLIX;46.950;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PT;2,355003933;2,181826496;0,173177437;29732;2058;31790;14264;12062;45;38;7;28.437;5437;33874;11439;12748;34;38;-4;-11;Administração, defesa, educação e saúde públicas e seguridade social;14.081,19;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;22/04/2020;207;0,805714286;20/03/2020;240;0,954545455;0,3965;0,3083;0,3985;0,4697;0,4081;0,4125;0,0732;0;0,0998;0;0,014;0;0.0647373387857817;0.16050658322016886;9.576924443438717;2.181826496;2.355003933;0.1731774370000001;0.07638002932169975;0.6800371058571428;-0.07668831158067846;4.14172866542552;0.2787210690431655;0.12325533397317555;-4.151079136690647;PI;46950;0;-11;True
Floriano;PI;JOEL RODRIGUES;ALMIR REIS;BILU CLAUDEMIR REZENDE;60.111;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2,793180314;2,345688179;0,447492135;35983;6023;42006;16040;15328;38;36;2;33.984;8895;42879;14429;9742;34;23;11;9;Demais serviços;21.866,04;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;20/03/2020;240;0,954545455;0,4373;0,3583;0,5313;0,5055;0,5191;0,5513;0,0682;0;0,1608;0;0,02;0;0.14338427843641385;0.20744420345623732;6.405992501982347;2.345688179;2.793180314;0.44749213500000007;0.17460201876457643;0.8228942487142856;0.06616883127646433;0.9707967239691495;0.5530357670431655;0.22147732341605222;-9.151079136690647;PI;60111;1;9;True
Parnaiba;PI;MÃO SANTA;FLORENTINO;DR HELIO;153.863;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;DEM;1,856665802;2,454497943;-0,597832141;85979;12357;98336;35585;34462;36;35;1;83.864;19483;103347;52075;20123;50;19;31;30;Demais serviços;17.021,64;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;22/04/2020;207;0,805714286;23/03/2020;237;0,920454545;0,3826;0,3436;0,4929;0,4422;0,4302;0,5223;0,0596;0;0,0866;0;0,0294;0;0.1256609990237553;0.18852022796984916;6.285922894609386;2.454497943;1.856665802;-0.5978321409999998;-0.27913993690124406;0.8180241187142857;0.06129870127646442;0.8507271165961887;-0.4922885089568344;-0.23226463224976826;-10.151079136690647;PI;153863;1;30;True
Piripiri;PI;LUIZ MENEZES;JÔVE OLIVEIRA;JÔVE OLIVEIRA;63.829;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PP;2,098293325;2,049104677;0,049188648;39314;8678;47992;17956;17729;37;37;0;37.775;11953;49728;17110;17671;34;36;-1;-2;Administração, defesa, educação e saúde públicas e seguridade social;14.159,14;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;;01/05/2020;198;0,754285714;20/03/2020;240;0,954545455;0,4855;0,5654;0,4019;0,5409;0,6308;0,4434;0,0554;0;0,0654;0;0,0415;0;0.180821803633939;0.24036759974259975;5.954579610866076;2.049104677;2.098293325;0.049188648000000335;0.023721357103292404;0.8155473098571429;0.058821892419321564;0.5193838328528786;0.15473228004316578;0.0705966617547682;-11.151079136690647;PI;63829;0;-2;True
Curitiba;PR;RAFAEL GRECA;NEY LEPREVOST;GOURA;1.963.726;14;7 - Maior que 500000;4 - Sul;MASCULINO;1;DEM;2,597457674;3,970100915;-1,372643241;1077252;211952;1289204;356539;219727;28;17;11;942.467;407421;1349888;499821;110977;37;8;29;18;Demais serviços;45.318,46;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;16/06/2020;152;0,491428571;26/03/2020;234;0,886363636;0,8049;0,8198;0,8926;0,8074;0,8158;0,9151;0,0025;0;-0,004;1;0,0225;0;0.1644053229744866;0.3018183730798407;13.741305010535413;3.970100915;2.597457674;-1.372643241;-0.4242583648119569;0.7682560295714287;0.011530612133607399;8.306109232522216;-1.2670996089568345;-0.37738306016048107;-0.15107913669064743;PR;1963726;1;18;True
Foz do iguacu;PR;CHICO BRASILEIRO;PHELIPE MANSUR;PAULO MAC DONALD;257.971;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PSD;3,00053621;2,151352161;0,849184049;150839;14891;165730;54488;23572;33;14;19;141.027;42279;183306;54252;51595;30;28;1;-17;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;69.247,40;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;14/06/2020;154;0,502857143;22/03/2020;238;0,931818182;0,6535;0,583;0,8;0,6967;0,6719;0,7777;0,0432;0;0,0889;0;-0,0223;1;0.0898509624087371;0.23064711466073123;14.079615225199413;2.151352161;3.00053621;0.8491840489999998;0.3326944528130181;0.7763821892857142;0.01965677184789294;8.644419447186216;0.9547276810431652;0.37956975746449395;7.848920863309353;PR;257971;1;-17;True
Londrina;PR;MARCELO BELINATI;VALTER ORSI;BOCA ABERTA;580.870;13;7 - Maior que 500000;4 - Sul;MASCULINO;1;PP;1,682450075;2,522263563;-0,839813488;301984;51330;353314;136360;93415;39;26;12;278.784;97289;376073;175331;18558;47;5;42;30;Demais serviços;37.766,29;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;09/04/2020;220;0,88;19/03/2020;241;0,965909091;0,7714;0,762;0,9089;0,7769;0,7382;0,9077;0,0055;0;-0,0238;1;-0,0012;1;0.14528153427263002;0.25869711465593115;11.341558038330113;2.522263563;1.682450075;-0.8398134880000001;-0.40490562864256024;0.8351298701428572;0.07840445270503593;5.906362260316916;-0.7342698559568347;-0.3580303239910845;0.8489208633093526;PR;580870;1;30;True
Maringa;PR;ULISSES MAIA;SILVIO BARROS;HOMERO MARCHESE;436.472;13;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PSD;2,696241562;3,399490122;-0,703248561;213696;48020;261716;56156;77196;21;29;-8;195.581;83919;279500;103010;34152;37;12;25;33;Demais serviços;46.507,74;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;17/04/2020;212;0,834285714;18/03/2020;242;0,977272727;0,8291;0,8171;0,9151;0,8525;0,8352;0,9443;0,0234;0;0,0181;0;0,0292;0;0.18348133090831284;0.3002468694096601;11.676553850134727;3.399490122;2.696241562;-0.70324856;-0.231766667074151;0.8302226344285714;0.07349721699075007;6.24135807212153;-0.5977049279568346;-0.1848913624226752;-19.151079136690647;PR;436472;1;33;True
Paranagua;PR;MARCELO ROQUE;ANDRE PIOLI;ADRIANO RAMOS;157.378;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PODE;2,468872998;2,943640651;-0,474767652;84269;8047;92316;32399;25446;35;28;8;78.809;22594;101403;36444;27265;36;27;9;2;Demais serviços;77.282,41;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;08/04/2020;221;0,885714286;20/03/2020;240;0,954545455;0,6023;0,4669;0,8094;0,6295;0,4983;0,8153;0,0272;0;0,0314;0;0,0059;0;0.08716798821439403;0.2228139206926817;13.564593247828766;2.943640651;2.468872998;-0.4747676529999998;-0.17588536153463752;0.977179963;0.2204545455621787;8.129397469815569;-0.3692240209568344;-0.12901005688316172;-3.1510791366906474;PR;157378;1;2;True
Belford roxo;RJ;WAGUINHO;DR,DEODALTO;CRISTIANO SANTOS;515.239;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;MDB;1,504955703;2,755699041;-1,250743338;264288;64489;328777;102777;65955;31;20;11;246.114;79682;325796;162720;25565;50;8;42;31;Administração, defesa, educação e saúde públicas e seguridade social;17.079,09;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;15/06/2020;153;0,497142857;30/03/2020;230;0,840909091;0,3656;0,3629;0,4475;0,3595;0,3014;0,397;-0,0061;1;-0,0615;1;-0,0505;1;0.19614814904935565;0.2445763606674115;4.842821161805586;2.755699041;1.504955703;-1.2507433380000001;-0.6049076812646157;0.7625788497142858;0.00585343227646451;-0.5923746162076116;-1.1451997059568346;-0.5580323766131399;-0.15107913669064743;RJ;515239;1;31;True
Campos dos goytacazes;RJ;RAFAEL DINIZ;DR, CHICÃO;WLADIMIR GAROTINHO;514.643;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;0;CIDADANIA;3,478271048;2,454337179;1,023933869;292646;66677;359323;151462;81989;42;23;19;270.753;89873;360626;13530;106526;4;30;-26;-45;Demais serviços;46.641,88;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;25/05/2020;174;0,617142857;03/04/2020;226;0,795454545;0,5386;0,5633;0,628;0,5351;0,5266;0,6241;-0,0035;1;-0,0367;1;-0,0039;1;0.18556285013761992;0.24921386699794246;6.365101686032254;2.454337179;3.478271048;1.023933869;0.34867860843471116;0.6303710574285715;-0.12635436000924982;0.929905908019057;1.1294775010431655;0.3955539130861869;7.848920863309353;RJ;514643;0;-45;True
Duque de caxias;RJ;WASHINGTON REIS;DICA;MARCELO DINO;929.449;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;MDB;3,027887816;3,953520981;-0,925633165;509282;118882;628164;149782;87643;24;14;10;502.547;155453;658000;212354;71335;32;11;21;12;Demais serviços;50.997,67;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;14/04/2020;215;0,670454545;0,5161;0,5333;0,6915;0,5081;0,4977;0,6604;-0,008;1;-0,0356;1;-0,0311;1;0.18925312498010075;0.23625075987841945;4.699763489831871;3.953520981;3.027887816;-0.9256331650000003;-0.2667412834462487;0.782309833;0.02558441556217872;-0.7354322881813262;-0.8200895329568348;-0.2198659787947729;-1.1510791366906474;RJ;929449;1;12;True
Nova iguacu;RJ;ROGERIO LISBOA;BORNIER;MAX LEMOS;825.388;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PP;2,383619695;3,067348424;-0,683728729;465686;117950;583636;157986;131531;27;23;5;435.797;151188;586985;218396;48740;37;8;29;24;Demais serviços;20.895,09;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;03/06/2020;165;0,565714286;21/03/2020;239;0,943181818;0,4853;0,5249;0,5812;0,4716;0,4987;0,527;-0,0137;1;-0,0262;1;-0,0542;1;0.20209514149229998;0.2575670587834442;5.547191729114423;3.067348424;2.383619695;-0.6837287289999998;-0.25219327028469324;0.6441280148571428;-0.11259740258067852;0.11199595110122562;-0.5781850969568344;-0.20531796563321744;-6.151079136690647;RJ;825388;1;24;True
Rio de janeiro;RJ;CRIVELLA;MARCELO FREIXO;EDUARDO PAES;6.775.561;16;7 - Maior que 500000;3 - Sudeste;MASCULINO;0;REPUBLICANOS;4,585491121;5,782401206;-1,196910085;3708857;1189187;4898044;842201;553424;17;11;6;3.261.011;1590876;4851887;576825;974804;12;20;-8;-14;Demais serviços;49.094,40;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;18/04/2020;211;0,828571429;21/03/2020;239;0,943181818;0,7147;0,7311;0,8739;0,7397;0,7162;0,8607;0,025;0;-0,0149;1;-0,0132;1;0.24278814155201545;0.3278880979709544;8.509995641893898;5.782401206;4.585491121;-1.1969100850000007;-0.23192181528569347;0.8245361781428572;0.06781076070503589;3.074799863880701;-1.0913664529568352;-0.18504651063421768;-5.151079136690647;RJ;6775561;0;-14;True
Volta redonda;RJ;SAMUCA SILVA;BALTAZAR;NETO;274.925;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;PSC;2,787441971;4,251739506;-1,464297534;180817;42423;223240;39547;50881;18;23;-5;166.140;56851;222991;13889;85673;6;38;-32;-27;Demais serviços;42.448,64;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;16/04/2020;213;0,84;20/03/2020;240;0,954545455;0,6775;0,7139;0,7781;0,6817;0,6435;0,8053;0,0042;0;-0,0704;1;0,0272;0;0.19003314818132952;0.2549475090922952;6.491436091096567;4.251739506;2.787441971;-1.464297535;-0.4222038757360974;0.8277922078571428;0.07106679041932151;1.0562403130833697;-1.3587539029568345;-0.3753285710846216;-16.151079136690647;RJ;274925;0;-27;True
Caico;RN;BATATA;ROBERTO GERMANO;DR TADEU;68.726;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;MDB;3,446192105;3,75366339;-0,307471285;37391;4089;41480;12687;9767;31;24;7;35.998;7337;43335;8301;14248;19;33;-14;-21;Demais serviços;18.883,59;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;14/05/2020;185;0,68;24/03/2020;236;0,909090909;0,5091;0,4809;0,5381;0,6143;0,6306;0,5591;0,1052;0;0,1497;0;0,021;0;0.09857762777242045;0.169308872735664;7.073124496324355;3.75366339;3.446192105;-0.30747128499999965;-0.08546238332704736;0.7984415584285713;0.04171614099075005;1.6379287183111577;-0.2019276529568342;-0.03858707867557157;-4.151079136690647;RN;68726;0;-21;True
Currais novos;RN;ODON JR;CARLSON GOMES;ZÉ LINS;45.022;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PT;2,595275678;2,649097731;-0,053822053;25454;7292;32746;10497;9628;32;29;3;24.827;5773;30600;10907;8958;36;29;6;4;Administração, defesa, educação e saúde públicas e seguridade social;16.670,54;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;29/04/2020;200;0,765714286;01/04/2020;228;0,818181818;0,5331;0,5592;0,4873;0,6178;0,6855;0,4957;0,0847;0;0,1263;0;0,0084;0;0.22268368655713675;0.18866013071895424;-3.4023555838182507;2.649097731;2.595275678;-0.05382205299999976;-0.020526357882003195;0.6548423005714286;-0.10188311686639273;-8.837551361831448;0.05172157904316568;0.026348946769472602;-8.151079136690647;RN;45022;1;4;True
